"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"森本 将太","Shota Morimoto","15522","もりもと・しょうた","R","R","5/25/1992","1992"
"森本 清三","Seizou Morimoto","16316","もりもと　せいぞう","L","L","03/19/1926","1926"
"森本 智"," ","14690","","R","R","6/30/1972","1972"
"森本 龍弥","Tatsuya Morimoto","15491","もりもと・たつや","R","R","6/12/1994","1994"
"森野 将彦","Masahiko Morino","10928","もりの　まさひこ","L","R","7/28/1978","1978"
"森脇 浩司","Hiroshi Moriwaki","10931","もりわき ひろし","R","R","8/6/1960","1960"
"深見 安博","Yasuhiro Fukami","451","","R","R","11/26/1919","1919"
"深江 真登","Masato Fukae","13037","ふかえ まさと","L","R","9/5/1987","1987"
"深代 芳史","Yoshifumi Fukushiro","13998","ふかしろ　よしふみ","R","R","5/13/1946","1946"
"深沢 恵雄","Yoshio Fukuzawa","9689","ふかざわ　よしお","R","R","5/30/1955","1955"
"深沢 建彦","Takehiko Fukazawa","14710","ふかさわ　たけひこ","R","R","4/3/1934","1934"
"深沢 修一","Shuichi Fukazawa","13168","ふかさわ しゅういち","R","R","6/17/1948","1948"
"深沢 督","Tadasu Fukazawa","15295","ふかさわ　ただす","R","R","12/22/1923","1923"
"深沢 和帆","Kazuho Fukasawa","12227","ふかさわ　かずほ","L","L","9/16/1983","1983"
"深谷 亮司","Ryoji Fukatani","11605","ふくたに　りょうじ","R","R","12/9/1974","1974"
"深町 亮介","Ryosuke Fukamachi","12229","ふかまち　りょうすけ","R","R","10/25/1984","1984"
"深田 拓也","Takuya Fukata","12104","ふかだ　たくや","L","L","4/23/1983","1983"
"深尾 文彦","Fumihiko Fukao","16024","ふかお　ふみひこ","R","R","","1920"
"申 成鉉","Shin Son Hyon","12720","シン・ソンヒョン","R","R","10/19/1990","1990"
"真栄喜 正和","Masakazu Maeki","10821","","L","R","7/20/1967","1967"
"真下 定夫","Sadao Mashita","14844","ました　さだお","R","R","3/22/1934","1934"
"真喜志 康永","Yasunaga Makishi","11155","","R","R","5/3/1960","1960"
"真弓 明信","Akinobu Mayumi","10863","まゆみ　あきのぶ","R","R","7/12/1953","1953"
"真砂 勇介","Yusuke Masago","15505","まさご・ゆうすけ","R","R","5/4/1994","1994"
"真中 満","Mitsuru Manaka","10861","まなか","L","L","1/6/1971","1971"
"真田 重蔵","Jyuzo Sanada","340","","R","R","5/27/1923","1923"
"真田 裕貴","Hiroki Sanada","11563","さなだ　ひろき","R","R","2/7/1984","1984"
"真鍋 幹三","Mikizo Manabe","13463","まなべ みきぞう","R","R","11/23/1945","1945"
"真鍋 勝己","Katsumi Manabe","12568","","R","R","7/25/1968","1968"
"真木 将樹","Masaki Maki","11126","まき　まさき","L","L","2/13/1976","1976"
"真野 春美","Harumi Mano","589","まの　はるみ","L","R","1/12/1907","1907"
"真野 常照","Tsuneteru Mano","16295","まの　つねてる","L","L","08/18/1923","1923"
"神垣 雅行","Masayuki Kamigaki","13211","かみがき まさゆき","R","R","4/2/1952","1952"
"神垣 雅詔","Masanori Kamigaki","14210","かみがき　まさのり","R","R","10/25/1935","1935"
"神吉 俊和","Toshikazu Kanki","15183","かんき　としかず","R","R","3/24/1926","1926"
"神原 隆彦","Takahiko Kanbara","13848","かんばら　たかひこ","R","R","1/8/1938","1938"
"神戸 拓光","Takumi Kobe","12158","こうべ　たくみ","L","R","2/23/1985","1985"
"神高 義幸","Yoshiyuki Kandaka","15053","かんだか　よしゆき","L","R","4/14/1934","1934"
"神崎 安隆","Yasutaka Kanzaki","15095","かみざき　やすたか","R","R","8/2/1932","1932"
"神山 一義","Kazuyoshi Koyama","10335","こうやま かずよし","R","R","10/7/1966","1966"
"神山 栄作","Eisaku Kamiyama","15285","かみやま　えいさく","R","R","9/22/1931","1931"
"神谷 雅巳","Masami Kamiya","14564","","R","R","7/15/1938","1938"
"神谷 定男","Sadao Kamiya","15012","","R","R","10/11/1931","1931"
"神田 義英","Yoshihide Kanda","11709","かんだ　よしひで","R","R","2/27/1979","1979"
"神田 昌男","Masao Kanda","14827","","R","R","11/8/1933","1933"
"神田 大介","Daisuke Kanda","10270","かんだ　だいすけ","B","R","4/30/1978","1978"
"神田 直輝","Naoki Kanda","12903","かんだ　なおき","R","R","1/18/1988","1988"
"神田 武夫","Takeo Kanda","16025","かんだ　たけお","R","R","","1922"
"神島 崇","Takashi Kamishima","11367","かみしま　たかし","L","L","1/9/1979","1979"
"神内 靖","Yasushi Kamiuchi","11571","かみうち　やすし","L","L","8/12/1983","1983"
"神部 年男","Toshio Kanbe","394","かんべ としお","L","L","3/24/1943","1943"
"神保 貴宏","Takahiro Jinbo","15326","じんぼ・たかひろ","R","R","12/9/1986","1986"
"神野 純一","Junichi Jinno","10467","じんの　じゅんいち","R","R","4/14/1970","1970"
"神野 信也","Shinya Jinno","10466","","L","L","4/19/1973","1973"
"神林 清二","Seiji Kamibayashi","14101","かみばやし　せいじ","R","R","8/8/1942","1942"
"秦 真司","Shinji Hata","10701","はた　しんじ","L","R","7/29/1962","1962"
"秦 裕二","Yuji Hata","11576","はた　ゆうじ","R","R","6/3/1983","1983"
"親富祖 弘也","Koya Oyafuso","10204","","L","R","8/29/1972","1972"
"辛島 航","Wataru Karashima","12715","からしま・わたる","L","L","10/18/1990","1990"
"進藤 実","Minoru Shindo","11221","","R","R","12/10/1974","1974"
"進藤 達哉","Tatsuya Shindo","10465","しんどう　たつや","R","R","1/14/1970","1970"
"人見 武雄","Takeo Hitomi","14143","","R","R","1/5/1935","1935"
"仁科 栄三","Eizo Nishina","16336","にしな えいぞう","R","R","08/03/1922","1922"
"仁科 時成","Tokinari Nishina","9695","にしな　ときなり","R","R","6/2/1951","1951"
"仁志 敏久","Toshihisa Nishi","10652","にし　としひさ","R","R","10/4/1971","1971"
"仁村 薫","Kaoru Nimura","9787","にむら　かおる","R","R","5/9/1959","1959"
"仁村 徹","Toru Nimura","10670","にむら とおる","R","R","12/26/1961","1961"
"仁藤 拓馬","Takuma Nito","12201","にとう　たくま","R","R","7/13/1988","1988"
"仁部 智","Satoshi Nibe","11856","","L","L","1/10/1980","1980"
"仁平 馨","Kaoru Nihei","10669","","R","R","6/18/1971","1971"
"仁木 安","Yasushi Niki","563","","L","L","9/12/1925","1925"
"諏訪部 貴大","Takao Suwabe","12845","すわべ　たかお","R","R","7/31/1988","1988"
"須永 英輝","Hideki Sunaga","11848","","L","L","10/28/1985","1985"
"須原 武志","Takeshi Suhara","16296","すはら　たけし","R","R","08/28/1923","1923"
"須崎 正明","Masaaki Suzaki","14022","","L","L","8/29/1939","1939"
"須山 成二","Seiji Suyama","474","すやま　せいじ","R","R","1/15/1949","1949"
"須田 幸太","Kota Suda","12992","すだ こうた","R","R","7/31/1986","1986"
"須藤 豊","Yutaka Sudo","13781","","R","R","4/21/1937","1937"
"須本 憲一","Kenichi Sumoto","15283","すもと　けんいち","R","R","1/7/1926","1926"
"吹石 徳一","Tokuichi Fukiishi","9685","ふきいし　とくいち","R","R","4/2/1953","1953"
"吹田 俊明","Toshiaki Fukita","14396","","R","R","6/9/1937","1937"
"水原 茂","Shigeru Mizuhara","464","","R","R","1/19/1909","1909"
"水口 栄二","Eiji Mizuguchi","10874","みずぐち　えいじ","R","R","1/9/1969","1969"
"水口 大地","Daichi Mizuguchi","15537","みずぐち・だいち","L","R","6/28/1989","1989"
"水沼 四郎","Shiro Mizunuma","13126","みずぬま しろう","R","R","2/27/1947","1947"
"水上 静哉","Shizuya Mizukami","14292","","R","R","2/16/1932","1932"
"水上 善雄","Yoshio Mizukami","137","みずかみ　よしお","R","R","8/9/1957","1957"
"水沢 英樹","Hideki Mizusawa","12533","","R","R","5/9/1969","1969"
"水沢 薫","Kaoru Mizusawa","12581","","R","R","2/18/1965","1965"
"水沢 正浩","Masahiro Mizusawa","12620","みずさわ　まさひろ","R","R","5/6/1967","1967"
"水谷 啓昭","Hiroaki Mizutani","13167","みずたに ひろあき","L","L","7/22/1953","1953"
"水谷 孝","Takashi Mizutani","412","","R","R","4/28/1948","1948"
"水谷 宏","Hiroshi Mizutani","13273","みずたに ひろし","R","R","4/11/1946","1946"
"水谷 実智郎","Michiro Mizutani","13729","みずたに　みちろう","R","R","9/1/1946","1946"
"水谷 実雄","Jitsuo Mizutani","138","みずたに　じつお","R","R","11/19/1947","1947"
"水谷 寿伸","Hisanobu Mizutani","389","みずたに　ひさのぶ","R","R","1/3/1941","1941"
"水谷 新太郎","Shintaro Mizutani","9736","みずたに　しんたろう","L","R","12/7/1953","1953"
"水谷 則一","Noriichi Mizutani","546","みずたに　のりいち","L","L","9/1/1910","1910"
"水谷 則博","Norihiro Mizutani","9631","みずたに　のりひろ","L","L","4/27/1950","1950"
"水谷 茂雄","Shigeo Mizutani","9467","みずたに しげお","R","R","7/21/1960","1960"
"水田 圭介","Keisuke Mizuta","11520","みずた　けいすけ","R","R","11/4/1980","1980"
"水田 章雄","Akio Mizuta","11263","みずた　あきお","R","R","7/11/1973","1973"
"水尾 嘉孝","Yoshitaka Mizuo","10873","みずお　よしたけ","L","L","5/2/1968","1968"
"水本 啓史","Hiroshi Mizumoto","9527","みずもと ひろし","R","R","1/15/1964","1964"
"水本 勝己"," ","14657","","R","R","10/1/1968","1968"
"水野 一","Hajime Mizuno","14897","みずの　はじめ","L","R","2/25/1934","1934"
"水野 忠彦","Tadahiko Mizuno","16318","みずの　ただひこ","R","R","08/15/1926","1926"
"水野 貞夫","Sadao Mizuno","14449","みずの　さだお","R","R","7/4/1936","1936"
"水野 祐希","Yuki Mizuno","12046","みずの　ゆうき","R","R","6/9/1987","1987"
"水野 雄仁","Masahito Mizuno","10875","みずの かつひと","R","R","9/3/1965","1965"
"水野 良一","Yoichi Mizuno","580","","R","R","12/23/1917","1917"
"水落 暢明","Nobuaki Mizuochi","11926","みずおち のぶあき","R","R","4/18/1985","1985"
"瑞季","Mizuki Tanaka","11388","たなか みずき","R","R","9/21/1980","1980"
"杉 斉英","Narihide Sugi","13680","すぎ　なりひで","R","R","5/6/1947","1947"
"杉浦 享","Toru Sugiura","11166","すぎうら　とおる","L","L","6/8/1952","1952"
"杉浦 幸二","Koji Sugiura","9660","すぎうら　こうじ","R","R","4/26/1966","1966"
"杉浦 守","Mamoru Sugiura","12624","すぎうら　まもる","R","R","6/27/1967","1967"
"杉浦 清","Kiyoshi Sugiura","225","すぎうら　きよし","R","R","7/20/1914","1914"
"杉浦 忠","Tadashi Sugiura","226","すぎうら　ただし","R","R","9/17/1935","1935"
"杉浦 稔大","Toshihiro Sugiura","15723","すぎうら　としひろ","R","R","2/25/1992","1992"
"杉浦 竜太郎","Ryutaro Sugiura","14959","","R","R","10/10/1923","1923"
"杉永 政信","Masanobu Suginaga","9503","すぎなが まさのぶ","R","R","5/5/1961","1961"
"杉下 茂","Shigeru Sugishita","224","すぎした　しげる","R","R","9/17/1925","1925"
"杉原 洋","Yo Sugihara","11837","","L","R","5/31/1985","1985"
"杉江 繁雄","Shigeo Sugie","16307","すぎえ　しげお","R","R","01/02/1925","1925"
"杉江 文二","Bunji Sugie","578","","R","R","1/15/1923","1923"
"杉山 賢人","Kento Sugiyama","10473","すぎやま　けんと","L","L","12/12/1968","1968"
"杉山 悟","Satoshi Sugiyama","228","すぎやま　さとし","R","R","1/1/1926","1926"
"杉山 光平","Kohei Sugiyama","227","すぎやま　こうへい","L","L","8/7/1927","1927"
"杉山 孝一","Koichi Sugiyama","0","すぎやま　こういち","NA","NA","",""
"杉山 晃紀","Akinori Sugiyama","12769","すぎやま・あきのり","B","R","11/1/1990","1990"
"杉山 重雄","Shigeo Sugiyama","13288","すぎやま しげお","L","L","7/9/1949","1949"
"杉山 俊介","Shunsuke Sugiyama","10474","すぎやま　しゅんすけ","R","R","6/5/1977","1977"
"杉山 春樹","Haruki Sugiyama","11815","","R","R","5/7/1980","1980"
"杉山 真治郎","Shinjiro Sugiyama","14926","すぎやま　しんじろう","L","R","12/9/1930","1930"
"杉山 知隆","Tomotaka Sugiyama","13166","すぎやま ともたか","R","R","8/22/1947","1947"
"杉山 直輝","Naoki Sugiyama","10475","","R","R","9/3/1969","1969"
"杉山 直久","Naohisa Sugiyama","11726","すぎやま　なおひさ","R","R","12/25/1980","1980"
"杉山 哲夫","Tetsuo Sugiyama","484","すぎやま　てつお","R","R","7/7/1926","1926"
"杉山 東洋生","Toyoo Sugiyama","16337","すぎやま　とようお","L","L","","1921"
"杉山 茂","Shigeru Sugiyama","13286","すぎやま しげる","R","R","4/23/1950","1950"
"杉山 翔大","Shota Sugiyama","15462","すぎやま・しょうた","R","R","2/10/1991","1991"
"杉川 喜久雄","Kikuo Sugikawa","14848","","R","R","11/21/1930","1930"
"杉村 繁","Shigeru Sugimura","9650","すぎむら　しげる","R","R","7/31/1957","1957"
"杉谷 拳士","Kenshi Sugiya","12749","すぎや　けんじ","B","R","2/4/1991","1991"
"杉谷 和男","Kazuo Sugitani","14928","","R","R","4/20/1933","1933"
"杉町 攻","Isao Sugimachi","14118","すぎまち　いさお","R","R","2/25/1942","1942"
"杉田 久雄","Hisao Sugita","13443","すぎた ひさお","R","R","3/15/1949","1949"
"杉田 勇","Isamu Sugita","10470","","R","R","5/30/1973","1973"
"杉田屋 守","Mamoru Sugitaya","16080","すぎだや　まもる","R","R","04/15/1908","1908"
"杉内 俊哉","Toshiya Sugiuchi","11570","すぎうち　としや","L","L","10/30/1980","1980"
"杉尾 富美雄","Fumio Sugio","15059","すぎお　ふみお","R","R","11/9/1934","1934"
"杉本 郁久雄","Ikuo Sugimoto","14007","すぎもと　いくお","L","L","9/25/1947","1947"
"杉本 喜久雄","Kikuo Sugimoto","14366","すぎもと　きくお","L","L","8/4/1942","1942"
"杉本 公孝","Kimitaka Sugimoto","13930","すぎもと きみたか","R","R","7/4/1938","1938"
"杉本 尚文","Naofumi Sugimoto","10471","","R","R","5/9/1971","1971"
"杉本 昌都","Masato Sugimoto","12464","すぎもと・まさと","R","R","4/28/1989","1989"
"杉本 征使","Masashi Sugimoto","12628","すぎもと まさし","R","R","1/17/1967","1967"
"杉本 正","Tadashi Sugimoto","9921","すぎもと　ただし","L","L","5/3/1959","1959"
"杉本 拓也","Takuya Sugimoto","0","","NA","NA","",""
"杉本 友","Yu Sugimoto","10472","すぎもと　ゆう","R","R","6/19/1973","1973"
"椙本 勝","Masaru Sugimoto","14521","","R","R","7/1/1931","1931"
"菅 利雄","Toshio Kan","16170","かん　としお","R","R","04/12/1916","1916"
"菅原 紀元","Norimoto Sugawara","14336","","R","R","7/25/1940","1940"
"菅原 勝矢","Katsuya Sugawara","13317","すがわら かつや","R","R","4/4/1945","1945"
"菅原 道裕","Michihiro Sugawara","14866","","R","R","1/25/1930","1930"
"菅野 光夫","Mitsuo Sugano","9523","すがの みつお","R","R","8/28/1952","1952"
"菅野 智之","Tomoyuki Sugano","15454","すがの・ともゆき","R","R","10/11/1989","1989"
"菅野 武雄","Takeo Sugano","15195","すがの　たけお","R","R","3/7/1930","1930"
"世良 賢次","Kenji Sera","13387","せら けんじ","R","R","1/26/1952","1952"
"瀬井 清","Kiyoshi Sei","16168","せい　きよし","R","R","03/10/1916","1916"
"瀬戸 輝信","Terunobu Seto","10503","せと　てるのぶ","R","R","3/25/1969","1969"
"瀬戸 昭彦","Akihiko Seto","14217","せと　あきひこ","R","R","6/18/1938","1938"
"瀬戸 和則","Kazunori Seto","13404","せと かずのり","R","R","8/17/1950","1950"
"瀬川 隼郎","Hayao Segawa","15919","","L","L","10/21/1986","1986"
"瀬島 了"," ","14682","","R","R","8/13/1971","1971"
"瀬野 浄","Kiyoshi Seno","14762","せの　きよし","R","R","5/23/1934","1934"
"畝 龍実","Tatsumi Une","12550","うね　たつみ","L","L","6/21/1964","1964"
"是久 幸彦","Yukihiko Korehisa","13971","","R","R","9/2/1943","1943"
"成重 春生","Haruo Narushige","13625","なりしげ はるお","R","R","4/20/1948","1948"
"成瀬 功亮","Kosuke Naruse","12971","なるせ こうすけ","R","R","8/19/1992","1992"
"成瀬 善久","Yoshihisa Naruse","11840","","L","L","10/13/1985","1985"
"成瀬 芳輝","Yoshiteru Naruse","16132","なるせ　よしてる","R","R","01/04/1914","1914"
"成田 啓二","Keiji Narita","15292","","R","R","1/27/1919","1919"
"成田 光弘","Mitsuhiro Narita","13763","なりた　みつひろ","R","R","10/7/1942","1942"
"成田 幸洋","Yukihiro Narita","12598","なりた ゆきひろ","R","R","7/16/1961","1961"
"成田 秀秋","Hideaki Narita","14465","なりた　ひであき","R","R","11/30/1940","1940"
"成田 文男","Fumio Narita","163","なりた　ふみお","R","R","10/2/1946","1946"
"成田 友三郎","Tomosaburo Narita","16201","なりた　ともさぶろう","L","L","06/06/1917","1917"
"成本 年秀","Toshihide Narimoto","10647","なりもと　としひで","R","R","9/11/1968","1968"
"政野 岩夫","Iwao Masano","16266","まさの　いわお","R","R","08/25/1920","1920"
"星 孝典","Takanori Hoshi","11931","ほし　たかのり","R","R","5/4/1982","1982"
"星 秀和","Hidekazu Hoshi","11958","ほし ひでかず","L","R","11/10/1986","1986"
"星山 晋徳","Shintoku Hoshiyama","14046","","L","L","7/7/1938","1938"
"星山 忠弘","Tadahiro Hoshiyama","10809","","R","R","6/12/1974","1974"
"星沢 純","Jun Hoshizawa","595","ほしざわ　じゅん","R","R","1/3/1924","1924"
"星田 次郎","Jiro Hoshida","15193","","R","R","9/22/1919","1919"
